{'epoch': 1, 'train_loss': 77.67754, 'valid_loss': 59.51233, 'lr': [0.01]}
{'epoch': 2, 'train_loss': 65.78501, 'valid_loss': 46.62422, 'lr': [0.01]}
{'epoch': 3, 'train_loss': 49.431156, 'valid_loss': 33.52545, 'lr': [0.01]}
{'epoch': 4, 'train_loss': 36.515057, 'valid_loss': 23.509926, 'lr': [0.01]}
{'epoch': 5, 'train_loss': 25.71252, 'valid_loss': 15.850145, 'lr': [0.01]}
{'epoch': 6, 'train_loss': 17.179432, 'valid_loss': 11.617026, 'lr': [0.01]}
{'epoch': 7, 'train_loss': 14.089111, 'valid_loss': 9.743191, 'lr': [0.01]}
{'epoch': 8, 'train_loss': 12.731806, 'valid_loss': 9.759585, 'lr': [0.01]}
{'epoch': 9, 'train_loss': 10.966981, 'valid_loss': 8.32362, 'lr': [0.01]}
{'epoch': 10, 'train_loss': 9.16708, 'valid_loss': 7.269049, 'lr': [0.01]}
{'epoch': 11, 'train_loss': 8.46917, 'valid_loss': 7.3954005, 'lr': [0.01]}
{'epoch': 12, 'train_loss': 8.081182, 'valid_loss': 6.799068, 'lr': [0.01]}
{'epoch': 13, 'train_loss': 7.359675, 'valid_loss': 6.6626697, 'lr': [0.01]}
{'epoch': 14, 'train_loss': 6.916921, 'valid_loss': 6.5457807, 'lr': [0.01]}
{'epoch': 15, 'train_loss': 6.912599, 'valid_loss': 6.3863473, 'lr': [0.01]}
{'epoch': 16, 'train_loss': 6.464409, 'valid_loss': 6.085317, 'lr': [0.01]}
{'epoch': 17, 'train_loss': 6.2875185, 'valid_loss': 5.8762693, 'lr': [0.01]}
{'epoch': 18, 'train_loss': 6.0167274, 'valid_loss': 6.149969, 'lr': [0.01]}
{'epoch': 19, 'train_loss': 6.49386, 'valid_loss': 6.1423655, 'lr': [0.01]}
{'epoch': 20, 'train_loss': 6.163699, 'valid_loss': 5.845749, 'lr': [0.01]}
{'epoch': 21, 'train_loss': 5.7540646, 'valid_loss': 5.7515225, 'lr': [0.01]}
{'epoch': 22, 'train_loss': 5.7758727, 'valid_loss': 5.8244762, 'lr': [0.01]}
{'epoch': 23, 'train_loss': 5.926796, 'valid_loss': 5.6184635, 'lr': [0.01]}
{'epoch': 24, 'train_loss': 5.6565604, 'valid_loss': 5.548893, 'lr': [0.01]}
{'epoch': 25, 'train_loss': 5.349288, 'valid_loss': 5.460973, 'lr': [0.01]}
